step,solve_rate,response_length,reward,kl_div,timing_s/agent_loop/slowest/num_preempted,val-aux/num_turns/min,_timestamp,timing_s/adv,actor/grad_norm,timing_s/stop_profile,response_length_non_aborted/max,critic/advantages/mean,response_length/clip_ratio,actor/lr,critic/returns/min,perf/total_num_tokens,timing_s/agent_loop/tool_calls/min,global_seqlen/mean,timing_s/values,critic/returns/mean,timing_s/agent_loop/generate_sequences/mean,perf/time_per_step,timing_s/ref,timing_s/testing,perf/mfu/actor_infer,timing_s/agent_loop/num_preempted/mean,critic/rewards/max,timing_s/agent_loop/generate_sequences/max,critic/values/min,val-aux/num_turns/mean,timing_s/agent_loop/slowest/response_length,critic/returns/max,num_turns/max,prompt_length/clip_ratio,perf/max_memory_reserved_gb,response_length_non_aborted/min,response_length_non_aborted/mean,timing_per_token_ms/update_critic,_step,actor/reward_kl_penalty,perf/throughput,num_turns/mean,timing_s/update_actor,timing_per_token_ms/update_actor,timing_s/update_critic,timing_s/agent_loop/num_preempted/max,actor/pg_loss,num_turns/min,global_seqlen/balanced_max,training/epoch,response_length/min,timing_s/step,timing_s/start_profile,perf/max_memory_allocated_gb,critic/lr,timing_s/agent_loop/slowest/tool_calls,response_length_non_aborted/clip_ratio,timing_per_token_ms/gen,response_length/max,global_seqlen/minmax_diff,actor/entropy,response/aborted_ratio,global_seqlen/max,critic/advantages/min,timing_s/agent_loop/slowest/prompt_length,critic/score/min,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/tool_calls/mean,actor/pg_clipfrac,critic/values/max,timing_s/agent_loop/tool_calls/max,actor/ppo_kl,critic/vf_loss,critic/vpred_mean,critic/rewards/min,perf/cpu_memory_used_gb,timing_per_token_ms/values,timing_s/old_log_prob,prompt_length/mean,timing_per_token_ms/ref,prompt_length/max,critic/grad_norm,timing_s/reward,critic/values/mean,actor/reward_kl_penalty_coeff,timing_s/agent_loop/num_preempted/min,_runtime,global_seqlen/balanced_min,global_seqlen/min,timing_s/agent_loop/slowest/generate_sequences,val-aux/num_turns/max,perf/mfu/critic,timing_per_token_ms/adv,critic/score/max,critic/vf_explained_var,val-aux/openai/gsm8k/reward/mean@1,timing_s/save_checkpoint,perf/mfu/actor,prompt_length/min,timing_s/gen,timing_s/update_weights,critic/vf_clipfrac,critic/rewards/mean,actor/pg_clipfrac_lower,critic/advantages/max
163,,5.55078125,0.0703125,0.0,-1.0,,1774989320.6385744,0.0364999719895422,21.95728206634521,4.630000330507755e-05,73.0,7.0468546553570385e-09,0.0,1e-06,-0.0259144306182861,28323.0,0.0,14161.5,2.208209363976493,0.0776607096195221,0.1909662566849874,32.43965523503721,3.2433648660080507,,0.0,-1.0,0.9972482323646544,0.3627347389701754,-0.0693359375,,73.0,0.9999790191650392,2.0,0.0,23.9453125,4.0,5.55078125,0.2824126189282342,163.0,1.3965736627578735,436.5490291864921,2.0,11.423128893016838,0.4033163468918136,7.998772605904378,-1.0,0.0842173700220882,2.0,14162.0,5.0,4.0,32.43965523503721,2.92840413749218e-05,18.392276287078857,1e-05,0.0,0.0,0.6526218212578632,73.0,77.0,0.2560965716838836,0.0,14200.0,-0.7365856766700745,92.0,0.0,0.0622530879918485,0.0,0.0237391965347342,0.154296875,0.0,0.007975252241124,0.1617350419255672,0.0105753971729427,-0.0259144362062215,53.16999816894531,0.0779652354615151,3.786970208049752,105.0859375,0.1145134648874784,211.0,17.45419478416443,1.4773104339838028e-05,0.0299072265625,0.001,-1.0,163.092582393,14161.0,14123.0,0.3627347389701754,,0.0,0.0012887043035533,1.0,0.0024680495262145,,,0.0,64.0,0.9273756080074236,2.766416938044131,0.0,0.0630713105201721,0.0015252976445481,3.5130035877227783
164,,5.16796875,0.09765625,0.0,-1.0,,1774989353.082742,0.0376569230575114,36.407023429870605,4.696100950241089e-05,11.0,1.009179140254446e-08,0.0,1e-06,-0.0275810286402702,28102.0,0.0,14051.0,2.235518653993495,0.0903901159763336,0.1832297753230705,32.437991335988045,3.2448251029709354,,0.0,-1.0,0.9976077079772948,0.2333742530317977,-0.06591796875,,11.0,1.0007295608520508,2.0,0.0,23.9453125,4.0,5.16796875,0.2848972216558445,164.0,1.640801191329956,433.16492240415766,2.0,11.37866683700122,0.4049059439542103,8.006181722972542,-1.0,0.0221292082569561,2.0,14051.0,5.0,4.0,32.437991335988045,3.279896918684244e-05,18.392276287078857,1e-05,0.0,0.0,0.6101167308855083,11.0,226.0,0.1835232675075531,0.0,14164.0,-0.6987359523773193,79.0,0.0,0.051117270020768,0.0,0.0220148156513459,0.1923828125,0.0,0.0042466314462217,0.1778667559847235,0.1280296638142317,-0.0275810323655605,53.14511489868164,0.0795501620522914,3.807195922010578,104.60546875,0.1154659847331483,196.0,16.60551941394806,1.7315964214503765e-05,0.08447265625,0.001,-1.0,208.785716962,14051.0,13938.0,0.2333742530317977,,0.0,0.0013400086491179,1.0,0.055783212184906,,,0.0,70.0,0.8071844349615276,2.873518456006422,0.0,0.0894106775522232,0.0,3.328263759613037
165,0.0621683093252464,5.21484375,0.0546875,0.0,-1.0,2.0,1774989398.777506,0.0379747039405629,23.28324794769287,0.0001036369940266,9.0,-2.8574511645729213e-09,0.0,1e-06,-0.030744731426239,27683.0,0.0,13841.5,2.2070232899859548,0.0470229014754295,0.1850291070295497,43.625214752042666,3.237680565100163,2.060866849962622,0.0,-1.0,0.9977988004684448,0.2235306489747017,-0.02392578125,2.0,6.0,0.9999619126319884,2.0,0.0,23.9453125,4.0,5.21484375,0.2892806114914468,165.0,1.5654946565628052,317.2821057425717,2.0,11.4441572179785,0.4134001812657046,8.008155167917721,-1.0,-0.0175980636849999,2.0,13842.0,5.0,4.0,43.625214752042666,3.096694126725197e-05,18.392276287078857,1e-05,0.0,0.0,0.6134236254118913,9.0,297.0,0.1647350788116455,0.0,13990.0,-0.7911586165428162,95.0,0.0,0.058713917969726,0.0,0.0212541939690709,0.341796875,0.0,0.0083226276219647,0.1030591356611694,0.055238943616132,-0.0307447351515293,53.17731094360352,0.0797248596606565,3.815470927977003,102.921875,0.116955552689382,202.0,6.278651297092438,1.1647935025393965e-05,0.0830078125,0.001,-1.0,241.143321045,13841.0,13693.0,0.2235306489747017,2.0,0.0,0.0013717698204877,1.0,0.0286523699760437,0.0621683093252464,11.237367026042191,0.0,56.0,0.8189205399248749,2.7750177540583536,0.0,0.0467116832733154,0.0,4.519181251525879
166,,5.16015625,0.08984375,0.0,-1.0,,1774989431.1302223,0.0396629890892654,32.753015995025635,4.567904397845268e-05,9.0,-1.1911904351791236e-08,0.0,1e-06,-0.0281557366251945,27609.0,0.0,13804.5,2.199188863974996,0.0767266303300857,0.1740338756962955,32.34693693497684,3.264255597954616,,0.0,-1.0,0.9979864954948424,0.2208144740434363,0.00445556640625,,9.0,0.999975562095642,2.0,0.0,23.9453125,4.0,5.16015625,0.2925396582291916,166.0,1.5092965364456177,426.7637466802352,2.0,11.35525858507026,0.4112882967536042,8.07672742404975,-1.0,-0.0256193480454385,2.0,13805.0,5.0,4.0,32.34693693497684,2.8864014893770215e-05,18.392276287078857,1e-05,0.0,0.0,0.5901043345964176,9.0,59.0,0.1970851570367813,0.0,13834.0,-0.8684329986572266,74.0,0.0,0.0630021980032324,0.0,0.0246927990228869,0.275390625,0.0,0.00384520006628,0.1647826726548373,0.1568846870213747,-0.0281557217240333,53.72513961791992,0.0796547815558331,3.793449978926219,102.6875,0.1182315765857009,193.0,18.684502840042114,1.3931072317063808e-05,0.12060546875,0.001,-1.0,273.786414974,13804.0,13775.0,0.2208144740434363,,0.0,0.0014365963667378,1.0,0.0648847222328186,,,0.0,65.0,0.7795278260018677,2.791193657089025,0.0,0.0822420194745063,0.0,3.652875661849976
167,,5.953125,0.09375,0.0,-1.0,,1774989463.7781975,0.0383134349249303,31.7518367767334,4.7681969590485096e-05,208.0,-5.6319349184263964e-09,0.0,1e-06,-0.0336522012948989,27575.0,0.0,13787.5,2.2677016289671883,0.0744190886616706,0.185746371568257,32.64241655403748,3.2245918520493437,,0.0,-1.0,0.9983236789703368,0.7012095140526071,-0.25390625,,208.0,0.999992847442627,2.0,0.0,23.9453125,3.0,5.953125,0.2887325798366505,167.0,1.5304195880889893,422.3798803981211,2.0,11.333771376055664,0.4110161877082743,7.96180088899564,-1.0,0.0176845327951014,2.0,13836.0,5.0,3.0,32.64241655403748,3.3841002732515335e-05,18.392276287078857,1e-05,0.0,0.0,0.8132772611391796,208.0,29.0,0.2503183782100677,0.0,13802.0,-0.983206868171692,127.0,0.0,0.1033525870880112,0.0,0.0198542091093258,0.11376953125,0.0,0.0050266316993656,0.2077064926270395,-0.0729521615576231,-0.0336521528661251,53.72781753540039,0.0822375930722461,3.843234195956029,101.76171875,0.1169389610897314,177.0,29.389069080352783,1.100695226341486e-05,-0.0712890625,0.001,-1.0,306.234665733,13739.0,13773.0,0.7012095140526071,,0.0,0.0013894264705323,1.0,0.0468141436576843,,,0.0,66.0,1.2394345459761098,2.6812886130064726,0.0,0.085907444357872,0.0022341697476804,3.5590407848358154
168,,5.15234375,0.09375,0.0,-1.0,,1774989496.2266188,0.0400847160490229,39.16319179534912,4.254397936165333e-05,10.0,-2.2775390462470568e-08,0.0,1e-06,-0.0265542566776275,27597.0,0.0,13798.5,2.1971315119881183,0.0819665342569351,0.192256057357099,32.44213128590491,3.2763175159925595,,0.0,-1.0,0.9978566765785216,0.2431102480040863,0.0654296875,,7.0,0.9999647736549376,2.0,0.0,23.9453125,4.0,5.15234375,0.2921871185978961,168.0,1.5748651027679443,425.32655695142375,2.0,11.426797096035443,0.4140593939933849,8.06348791194614,-1.0,0.003599838430091,2.0,13800.0,5.0,4.0,32.44213128590491,3.4051015973091125e-05,18.392276287078857,1e-05,0.0,0.0,0.6192725459276116,10.0,207.0,0.1753863990306854,0.0,13902.0,-1.0317199230194092,116.0,0.0,0.0905606430023908,0.0,0.0174975122208707,0.38671875,0.0,0.0025798805921795,0.2002004232490435,0.216722491197288,-0.0265542361885309,53.68046569824219,0.0796148679924672,3.7919569879304618,102.6484375,0.1187200607309692,216.0,25.105509519577023,9.604962542653084e-06,0.189453125,0.001,-1.0,338.554273194,13797.0,13695.0,0.2431102480040863,,0.0,0.0014525026651093,1.0,0.0310279130935668,,,0.0,69.0,0.8168204880785197,2.757405675016344,0.0,0.0858910083770752,0.0015079941949807,3.3999133110046387
169,,5.16796875,0.09765625,0.0,-1.0,,1774989528.546166,0.0358920389553532,36.76037406921387,4.250404890626669e-05,8.0,-1.982316177873145e-08,0.0,1e-06,-0.0286801382899284,27296.0,0.0,13648.0,2.222758372081444,0.0834565535187721,0.1904668552419934,32.304436177015305,3.2618559539550915,,0.0,-1.0,1.000411868095398,0.2316541949985548,-0.177734375,,7.0,1.001262664794922,2.0,0.0,23.9453125,4.0,5.16796875,0.2933592848054757,169.0,1.447075366973877,422.4806749517142,2.0,11.389375942992046,0.4172543941600251,8.007535038050264,-1.0,0.0044692498631775,2.0,13648.0,5.0,4.0,32.304436177015305,0.0001080440124496,18.392276287078857,1e-05,0.0,0.0,0.5797210075728488,8.0,468.0,0.1825165003538131,0.0,13882.0,-0.8631755113601685,105.0,0.0,0.0796527210623025,0.0,0.0202607293613255,0.1416015625,0.0,-0.0029161216925785,0.1942197780517744,-0.0343200588504259,-0.0286801364272832,53.74028015136719,0.0814316519666414,3.81291486392729,101.45703125,0.1194994121466548,217.0,22.388245582580566,1.022603828459978e-05,-0.0189208984375,0.001,-1.0,384.215662842,13648.0,13414.0,0.2316541949985548,,0.0,0.0013149193638391,1.0,0.0220487713813781,,,0.0,69.0,0.766970893018879,2.7554913909407333,0.0,0.0902429670095443,0.0014369714772328,3.571441411972046
170,0.0652009097801364,5.08984375,0.07421875,0.0,-1.0,2.0,1774989574.2074332,0.0360684059560298,44.66198468208313,9.122805204242468e-05,8.0,-1.0246692383475421e-08,0.0,1e-06,-0.0269531160593032,28374.0,0.0,14187.0,2.2136027129599825,0.0612331926822662,0.1859307550730591,43.61790147400461,3.2684446669882163,2.037891892949119,0.0,-1.0,0.9980008602142334,0.2421200240496546,0.0908203125,2.0,6.0,0.9999457001686096,2.0,0.0,23.9453125,4.0,5.08984375,0.2813864481901456,170.0,1.6080453395843506,325.2563631117184,2.0,11.42515674396418,0.402662886585049,7.9840590809471905,-1.0,0.0186028135940432,2.0,14187.0,5.0,4.0,43.61790147400461,2.9114075005054477e-05,18.392276287078857,1e-05,0.0,0.0,0.6222087774298519,8.0,508.0,0.1886782199144363,0.0,14441.0,-0.8512306213378906,112.0,0.0,0.0566360489465296,0.0,0.023551513440907,0.365234375,0.0,0.0030421488700085,0.1959057166241109,0.2398996911942958,-0.0269530899822711,53.77179336547852,0.0780151798463375,3.809884300921112,105.74609375,0.11519153686432,201.0,33.28627061843872,9.284005500376225e-06,0.2138671875,0.001,-1.0,416.283271209,14187.0,13933.0,0.2421200240496546,2.0,0.0,0.0012711780487781,1.0,0.0088012218475341,0.0652009097801364,11.289498856989669,0.0,68.0,0.810738036991097,2.7280521149514243,0.0,0.0661006942391395,0.0007621950935572,3.9195947647094727
171,,5.1484375,0.06640625,0.0,-1.0,,1774989606.2742426,0.0369018469937145,22.424455404281616,4.57690330222249e-05,11.0,2.894307460366008e-09,0.0,1e-06,-0.0284928195178508,27939.0,0.0,13969.5,2.196796147036366,0.0509358309209346,0.1802213482496881,32.06044885003939,3.219044622965157,,0.0,-1.0,0.9986552596092224,0.2348600919358432,-0.1357421875,,10.0,0.9999852180480956,2.0,0.0,23.9453125,4.0,5.1484375,0.2853990039745885,171.0,1.5413237810134888,435.7237812028585,2.0,11.303162491996773,0.4045657500983132,7.97376277204603,-1.0,-0.0152777330949902,2.0,13970.0,5.0,4.0,32.06044885003939,2.659996971487999e-05,18.392276287078857,1e-05,0.0,0.0,0.6176849225838421,11.0,69.0,0.1777092218399047,0.0,14004.0,-1.1675642728805542,96.0,0.0,0.0560799069935455,0.0,0.0178095640731044,0.2216796875,0.0,0.0063244854682125,0.1222599409302347,-0.0120861580398923,-0.0284928195178508,53.869178771972656,0.0786283026248744,3.782521607005037,103.98828125,0.1152168876110511,178.0,13.447520554065704,1.0896008461713793e-05,0.007049560546875,0.001,-1.0,448.515317424,13969.0,13935.0,0.2348600919358432,,0.0,0.0013208005652927,1.0,0.0385968089103698,,,0.0,70.0,0.8141087279655039,2.6980260919081047,0.0,0.058683231472969,0.0,4.507447719573975
172,,5.26171875,0.08203125,0.0,-1.0,,1774989638.5021572,0.023083179956302,27.17234468460083,4.495796747505665e-05,9.0,-1.0619981338777508e-08,0.0,1e-06,-0.0281572639942169,28293.0,0.0,14146.5,2.274195677950047,0.0752317234873771,0.1955973498670573,32.2206498850137,3.218707647058181,,0.0,-1.0,1.0001764297485352,0.2550746090710163,-0.06982421875,,6.0,1.0011484622955322,2.0,0.0,23.9453125,4.0,5.26171875,0.2812797372146018,172.0,1.6305752992630005,439.0507345595082,2.0,11.347257581888698,0.4010623681436644,7.95824760501273,-1.0,-0.0057785760145634,2.0,14147.0,5.0,4.0,32.2206498850137,0.0002205839846283,18.392276287078857,1e-05,0.0,0.0,0.5903208931477958,9.0,99.0,0.161391332745552,0.0,14196.0,-1.03241765499115,108.0,0.0,0.0841644080355763,0.0,0.0178612060844898,0.26171875,0.0,0.002200238432124,0.1578897565777879,0.111636608489789,-0.0281572714447975,53.89826965332031,0.0803801533223782,3.861853759968653,105.2578125,0.1137633919011126,212.0,12.792675077915192,8.012051694095135e-06,0.06640625,0.001,-1.0,480.83526588,14146.0,14097.0,0.2550746090710163,,0.0,0.0008158618724172,1.0,0.0305724143981933,,,0.0,62.0,0.7951622430700809,2.714377783006057,0.0,0.0737179294228553,0.0007621950935572,3.6556649208068848
