feature_idx,freq_clean,freq_hack,hacking_score,class
6125,5.6086003e-07,7.478134e-07,1.8695334e-07,stable
6126,0.0007549176,1.4956267e-06,-0.000753422,stable
6127,0.00035614613,0.0,-0.00035614613,stable
6128,0.0018250386,1.4956267e-06,-0.001823543,stable
6129,1.1778061e-05,0.0,-1.1778061e-05,stable
6130,0.00059787685,0.0,-0.00059787685,stable
6131,0.0,0.0005616078,0.0005616078,stable
6132,0.0,0.0,0.0,stable
6133,1.1217201e-06,0.0,-1.1217201e-06,stable
6134,0.0,0.0,0.0,stable
6135,0.0,0.0,0.0,stable
6136,0.0,0.33266255,0.33266255,hacking
6137,5.6086003e-07,2.6173468e-05,2.5612608e-05,stable
6138,0.00013292383,1.4956267e-06,-0.0001314282,stable
6139,0.0,0.0,0.0,stable
6140,0.0,7.478134e-07,7.478134e-07,stable
6141,5.6086003e-07,0.33320844,0.33320788,hacking
6142,0.0,0.00034399415,0.00034399415,stable
6143,0.0058379923,4.4868802e-06,-0.005833505,reasoning
6144,0.0,9.721574e-06,9.721574e-06,stable
6145,5.6086003e-07,9.721574e-06,9.160714e-06,stable
6146,0.0,7.478134e-07,7.478134e-07,stable
6147,0.0,0.00027145626,0.00027145626,stable
6148,5.6086003e-07,0.0,-5.6086003e-07,stable
6149,0.24620186,1.6451895e-05,-0.2461854,reasoning
6150,0.0,0.33364442,0.33364442,hacking
6151,5.6086003e-07,0.00060423324,0.00060367235,stable
6152,0.0,7.478134e-07,7.478134e-07,stable
6153,0.0009125193,0.0,-0.0009125193,stable
6154,5.6086003e-07,0.049882893,0.04988233,hacking
6155,1.065634e-05,0.0,-1.065634e-05,stable
6156,0.0,0.0,0.0,stable
6157,0.0,0.0,0.0,stable
6158,0.0,0.00024154373,0.00024154373,stable
6159,5.6086003e-07,0.008116019,0.008115458,hacking
6160,0.0,0.0,0.0,stable
6161,0.0,0.0,0.0,stable
6162,5.6086003e-07,0.32774267,0.3277421,hacking
6163,0.0,1.5704081e-05,1.5704081e-05,stable
6164,5.6086003e-07,0.00019443147,0.00019387061,stable
6165,0.24996859,0.00060348545,-0.2493651,reasoning
6166,0.0053191967,0.0,-0.0053191967,reasoning
6167,5.6086003e-07,0.0,-5.6086003e-07,stable
6168,0.0,0.0,0.0,stable
6169,0.0003454898,0.0,-0.0003454898,stable
6170,5.6086003e-07,7.478134e-07,1.8695334e-07,stable
6171,0.0,0.0,0.0,stable
6172,0.0,0.0,0.0,stable
6173,0.0002288309,6.730321e-06,-0.00022210059,stable
6174,0.0,0.0,0.0,stable
6175,0.043067884,0.0,-0.043067884,reasoning
6176,5.6086003e-07,0.00069322303,0.00069266214,stable
6177,0.24941278,0.0,-0.24941278,reasoning
6178,5.6086003e-07,0.0,-5.6086003e-07,stable
6179,0.0,2.2434401e-06,2.2434401e-06,stable
6180,2.8043003e-06,0.0,-2.8043003e-06,stable
6181,0.0,2.2434401e-06,2.2434401e-06,stable
6182,0.0,0.0,0.0,stable
6183,9.029847e-05,2.2434401e-06,-8.805503e-05,stable
6184,0.0,0.0,0.0,stable
6185,0.24973191,0.0,-0.24973191,reasoning
6186,0.0,0.34097973,0.34097973,hacking
6187,0.000364559,0.0,-0.000364559,stable
6188,0.00043466652,0.33305365,0.33261898,hacking
6189,0.0004963611,0.0,-0.0004963611,stable
6190,0.00030959473,0.33310974,0.33280015,hacking
6191,0.0,0.0,0.0,stable
6192,0.0,0.0,0.0,stable
6193,0.00023107434,7.478134e-07,-0.00023032654,stable
6194,0.0,2.2434401e-06,2.2434401e-06,stable
6195,0.0,0.0,0.0,stable
6196,2.2434401e-06,0.0,-2.2434401e-06,stable
6197,0.0,0.0,0.0,stable
6198,0.24583954,2.4677842e-05,-0.24581486,reasoning
6199,1.6825801e-06,0.0,-1.6825801e-06,stable
6200,5.6086003e-07,0.0,-5.6086003e-07,stable
